MAP-VERSION	1

HEADER-MAP INFO	MAP NAME	IMAGE	NOTE
MAP INFO	British sections	British_map_NO_dots	From "Locations of lithostratigraphic columns" in legend to Waters, C.N. et al (16 authors), 2007.  STRATIGRAPHICAL CHART OF THE UNITED KINGDOM: 2 sheets -- Northern Britain & Southern Britain. British Geological Survey, 2 posters.

HEADER-PARENT MAP	PARENT NAME	COORDINATE TYPE	UPPER LEFT LON	UPPER LEFT LAT	LOWER RIGHT LON	LOWER RIGHT LAT
PARENT MAP	WorldMap.jpg	RECTANGULAR	-15	63	6	48
COMMENT	NZ on PARENT MAP	World Map	RECTANGULAR	171.5712	-37.4913	175.4356	-41.789

HEADER-COORD	COORDINATE TYPE	UPPER LEFT LON	UPPER LEFT LAT	LOWER RIGHT LON	LOWER RIGHT LAT
COORD	RECTANGULAR	0	0	4.8	7.9
COMMENT	Long = X; Lat = Y.  Map is 7.9 inches tall (Lat) and 4.8 inches wide (Long)

COMMENT	DataColumns
HEADER-DATACOL	NAME	LON	LAT	NOTE		MIN-AGE	MAX-AGE	NOTE
DATACOL	Lancashire and Cheshire Basin  (region S2)	3.15	5.33		off		-Infinity	Infinity	Waters, C.N. et al (16 authors), 2007.  Stratigraphical Chart of the United Kingdom: 2 sheets -- Northern Britain & Southern Britain. British Geological Survey, 2 posters.
DATACOL	Yorkshire  (region S3)	3.49	5.08		on		-Infinity	Infinity	Waters, C.N. et al (16 authors), 2007.  Stratigraphical Chart of the United Kingdom: 2 sheets -- Northern Britain & Southern Britain. British Geological Survey, 2 posters.
DATACOL	East Midlands  (region S5)	3.53	5.52		off		-Infinity	Infinity	Waters, C.N. et al (16 authors), 2007.  Stratigraphical Chart of the United Kingdom: 2 sheets -- Northern Britain & Southern Britain. British Geological Survey, 2 posters.
DATACOL	West Midlands  (region S6)	3.14	5.82		off		-Infinity	Infinity	Waters, C.N. et al (16 authors), 2007.  Stratigraphical Chart of the United Kingdom: 2 sheets -- Northern Britain & Southern Britain. British Geological Survey, 2 posters.
DATACOL	North Wales  (region S7)	2.93	5.49		off		-Infinity	Infinity	Waters, C.N. et al (16 authors), 2007.  Stratigraphical Chart of the United Kingdom: 2 sheets -- Northern Britain & Southern Britain. British Geological Survey, 2 posters.
DATACOL	South Wales  (region S8)	2.85	5.92		off		-Infinity	Infinity	Waters, C.N. et al (16 authors), 2007.  Stratigraphical Chart of the United Kingdom: 2 sheets -- Northern Britain & Southern Britain. British Geological Survey, 2 posters.
DATACOL	South-west England  (region S10)	2.75	6.52		off		-Infinity	Infinity	null
DATACOL	Bristol and Gloucester  (region S11)	3.16	6.12		off		-Infinity	Infinity	Waters, C.N. et al (16 authors), 2007.  Stratigraphical Chart of the United Kingdom: 2 sheets -- Northern Britain & Southern Britain. British Geological Survey, 2 posters.
DATACOL	Hampshire Basin  (region S12)	3.38	6.25		on		-Infinity	Infinity	Waters, C.N. et al (16 authors), 2007.  Stratigraphical Chart of the United Kingdom: 2 sheets -- Northern Britain & Southern Britain. British Geological Survey, 2 posters.
DATACOL	London and Thames Valley  (region S13)	3.8	6.09		off		-Infinity	Infinity	Waters, C.N. et al (16 authors), 2007.  Stratigraphical Chart of the United Kingdom: 2 sheets -- Northern Britain & Southern Britain. British Geological Survey, 2 posters.
DATACOL	Eastern England  (region S14)	3.69	5.78		off		-Infinity	Infinity	Waters, C.N. et al (16 authors), 2007.  Stratigraphical Chart of the United Kingdom: 2 sheets -- Northern Britain & Southern Britain. British Geological Survey, 2 posters.
DATACOL	Weald Region  (region S15)	3.83	6.35		off		-Infinity	Infinity	Waters, C.N. et al (16 authors), 2007.  Stratigraphical Chart of the United Kingdom: 2 sheets -- Northern Britain & Southern Britain. British Geological Survey, 2 posters.
