format version:	1.3														
date:	2/24/2013														
															
Calcareous Nannofossils w/images	:	Tropical and Mid-latitude Calcareous Nannofossils w/img	Boreal Nannofossils w/img		"NEW CENOZOIC (low and middle latitudes) = Backman-Agnini et al. (2012; 2014) -- Low and middle latitudes.  Neogene-Olig = direct astronomical age; Eocene-Paleocene = proportions within C19r-C29r  NEOGENE = mainly Lourens et al. (GTS2004 tables); PALEOGENE = Composite of ODP studies, plus Berggren et al. (1995a, b) -- reviewed and enhanced by Paul Bown, June 2011.  Late CRETACEOUS = mainly Late Cret. working group (London, June2011), which modified Burnett (1999) and Erba et al (1995) as tabulated by ODP Leg 171B Init. Repts. (Table 2, p. 17-18).  Middle and Early CRETACEOUS = compiled by Jim Bergen, based on publications by Tim Bralower et al (1995),  J. Bergen (1994) and Eric de Kaenel. Tethyan Early-Middle Jur zones from Mattioli and Erba (1999);  Late Jur zones from Casellato, 2011. See NannoTax links for individual taxa images, etc."										
	NP24	28.28	dashed	"DOTTED -- Difficult to pin down age within the transition; therefore has a wide range fo calibrations.  A high estimate is a cycle-calibrated in Equat. Pacific as 27.14 Ma (4.11 myr relative to 23.03 Ma for base-Miocene, by Blaj et al.'09 = also used by Agnini et al, 2014).  But Paul Bown (to J.Ogg, June'11) advised to not use this very high placement, because this might be a very high level in the transition.  In contrast, Nanno 'Sphenolithus ciperoensis FAD' was placed at essentially base of Chron C11n.2n at proposed Chattian GSSP (Coccioni et al., GSA Bull., 2008) similar to assignment by Aubry (in Berggren, Kent, et al., 1995) within Subchron C11n.2n.  However, to avoid overlap with cycle-scaled ""underlying"" CP18 marker (which has its own problems), the base of this NP24/CP19 is DOTTED at base of Chron C10n (it has been base-C10r in GTS2012; but Agnini et al., 2012, imply a further compromise to show a ""mean"" placement mid-way between the Chattian-GSSP level and the younger Agnini et al. assignment).  This is about 0.4 myr older than estimate in Leg 145 table [Berggren et al. (1995a); Coccioni et al. (2008); P. Bown (pers. comm., 2011)]"											
	NP23	32.02	dashed	"Diachronous -- Oligocene Nanno 'Reticulofenestra umbilicus LAD' was specified as "">14 micron"" in Leg 145 table.  This LAD occurs earlier (32.3 Ma) in low-mid latitudes than in southern high-latitudes (31.3 Ma) = 1m.y. diachroneity.  For simplicity, I have placed the associated Zone NP23; CP17 base with the mid-latitude level (32.3 Ma)."											
	NP22	32.92	dashed	"DASH -- Also known as ""Coccolithus formosa"".  Diachronous.  Cycle-calibrated as 32.92 Ma (9.89 myr prior to 23.03 Ma for base-Miocene) by Blaj et al. (2009) (Eq. Pac.) (used here).  This is same as chron-age scaling as Berggren et al. (1995) as revised by Leg 145 = lowermost Chron C12r.  Diachronous (Berggren et al. (1995a) indicate the LAD is 7 myr nearly earlier in south high lat!).  "											
	NP21	34.44	dashed	Diachronous.  Cycle-calibrated as 34.44 Ma (11.41 myr prior to 23.03 Ma for base-Miocene) by Blaj et al. (2009) (Eq. Pac.).  This is consistent with the chron-age scaling as Berggren et al. (1995) as revised by Leg 145 = middle of Chron C13r.											
	NP19-20	36.84		"Zone NP19-20 has definition problems -- Eocene Nanno Zone NP19-20 is combined in most zonations, because base of NP20 (FAD Sphenolithus pseudoradians) was later found to be a very resticted taxon with a time-transgressive FAD (as early as NP15!).  Base of Zone NP19-20 redefined by Aubry to be FAD of 'I. recurvus', rather than LAD of 'C. grandis'.  [Reviewed in Perch-Nielsen, 1985].  The LAD of 'C. grandis' (Martini, 1976, definition) would appear to be more useful?"											
	NP18	36.94		"Genus 'Chiasmolithus' is rare in low latitudes, so NP17 and NP18 are often combined.  NP 17/18 boundary = Working definition for Middle/Late Eocene boundary."											
	NP17	40.31		"Genus 'Chiasmolithus' is rare in low latitudes, so NP17 and NP18 are often combined."											
	NP16	42.78	dashed	"DASH -- Berggren et al. (1995a) assign as middle of Chron C20n.5.  IODP Expedition 320/321 Scientists (2010) cite 43.4 Ma based on Bachman (1986), but chron-age not given.  Base of NP16 was LAD of B. gladius, but rarely preserved (Paul Bown to J.Ogg, June2011); therefore IODP Leg 320-321 used LAD of N. fulgens as proxy => NP15 becomes the Range Zone of N. fulgens."											
	NP15	46.24		"Eocene Nanno Zone NP15-16 is combined in some zonal schemes, because marker of NP16 (base = LAD 'Rhabdolithus gladius') is rare or often absent.  [See Perch-Nielsen, 1985, for details.]   However, Aubry (in Berggren et al., 1995), could distinquish 3 subzones in NP15 using markers similar for subzones of CP13 (with a total duration of 4 m.y.), and estimated that NP16 was a valid zone with duration of nearly 3 m.y."											
	NP14	48.48		"Agnini et al. (2014) assign Base of 5-rayed type as 7% up in C21r (used here), which was 49.0 Ma on C&K'95 scale.  In contrast, IODP Expedition 320/321 Scientists (2010) assigned 0.5myr lower as 49.5 Ma (based on same CK'95 scale) citing the same Agnini et al. (2006) => Chron C21n.3 on that scale, which was just slightly younger than the chron-age scaling of Berggren et al. (1995a) of base of C22n.  The Lutetian GSSP nannofossils (Molina et al., Episodes, in press as of 2011) indicate the FAD may be as high as C21n.5.5."											
	NP13	50.49	dashed	"DASH (CP11 only) -- Eocene Nanno Zone CP11 base is FAD of Toweius? crassus; and this event is often used to approximate base of NP13 (see discussion in Perch-Nielsen, 1985).  Following Aubry (in Berggren et al., 1995), NP13 and CP11 bases are made coeval, but there is no direct CP11 calibration."											
	NP12	53.7		IODP Expedition 320/321 Scientists (2010) assigned as 53.1 Ma (based on CK'95 scale) citing Agnini et al. (2007) who placed it at Chron C24n.3n.5 (used here).  This is about 0.25 older than chron-age scaling of Berggren et al. (1995a) of the middle of Chron C24n.2r.											
	NP11	54.17	dashed	"DASH -- LAD of T. contortus is not seen very often, therefore Leg 320-321 (PEAT) used FAD of Tri. orthostylus as alternate marker for base-NP11.  Eocene Nanno Zone NP11 is essentially a ""gap"" zone, recognized by absence of NP10 or NP12 zonal markers."											
	NP10	55.86		"Base of NP10 is in uppermost Paleocene -- Eocene/Paleocene boundary nanno ""Tribrachiatus bramlettei"" is assigned to top of Paleocene by Aubrey (in Berggren et al., 1995); but Leg 145 placed it about 2 m.y. higher in lower Eocene.  This is often equated with base of CP9 (FAD of Discoaster diastypus), but there is no direct calibration.  Indeed, Leg 145 table implies about 1.0 m.y. separation (although, this is probably not a direct estimate)."											
	NP9	57.22		"Zone NP9 spans Paleocene/Eocene boundary.  Paleocene Nanno Zone NP9 contains FAD's of several Discoaster species and other groups; producing a peak in nannofossil diversity.  Faciculithus becomes rare toward the top; and this FAD is sometimes used to approximate Paleocene/Eocene boundary (Perch-Nielsen, 1985)."											
	 	57.49	dotted	"DOTTED as alternate placement for base of NP8 also.  IODP Expedition 320/321 Scientists (2010) assigned as 56.2 Ma (based on CK'95 scale) citing Agnini et al. (2007) implying placement at Chron C25n.3 on that CK'95 scale (used here).  Agnini et al (2014) note ""existing uncertainty with respect to its precise calibration to magnetostratigraphy"".  Their assignment is much higher than chron-age scaling of Berggren et al. (1995) of upper mid-Chron C25r."											
	NP8	58.7		"Paleocene nanno zone ""NP8"" has different definitions for the base.  H. riedelii FAD was former definition, and is used by Aubrey (in Berggren et al., 1995).  However, Perch-Nielsen (1985) considered this marker to be unreliable, so recommended usage of FAD of D. nobilis (which is also base of CP7)."											
	NP7	58.97		IODP Expedition 320/321 Scientists (2010) assigned as 57.6 Ma (based on CK'95 scale) citing Agnini et al. (2007) who placed it at top of Chron C26n (C26n.95; used here) = same as observed at the Thanetian GSSP and same chron-age scaling as Berggren et al. (1995a).											
	NP6	59.36		"At Zumaya GSSP, this event occurs within uppermost Chron C26r, similar to Berggren et al. (1995a) of ca. Chron C26r.85.  However, IODP Expedition 320/321 Scientists (2010) assigned as 58.0 Ma (based on CK'95 scale) citing Agnini et al. (2007) who placed it at top of Chron C26r (C26r.96; used here)."											
	NP5	61.51		"Cycle-strat of Selandian GSSP -- summarized in Schmitz et al. (Episodes, in press as of 2011) -- indicates that this event is about 0.1 myr above base-Selandian (used here).  This is about same chron-age scaling as Berggren et al. (1995) of ca. Chron C26r.4.  In contrast, Agnini et al (2014; citing Agnini et al., 2007) assign it as C26r.33, which would place it nearly coeval with base-Selandian.  Coeval with FAD Neochiastozygus perfectus (North Sea)."											
	NP4	63.25	dotted	"DOTTED:  Agnini et al. (2012) indicate a 1 myr uncertainty in calibration.  Paleocene Nanno 'E. macellus' FAD assigned to lower C27r by Berggren et al. (1985b; 1995a) (C27r.25 is used here). Leg 145 places nearly 1.6 myr higher (at of Chron C26r), citing Backman (1986).  Berggren et al. (1995a) indicate that this is a solution-susceptible taxon; so the earlier FAD may be more appropriate.  Defines NP4 base."											
	NP3	64.81		"Paleocene Nanno Zone NP3 is subdivided into 4 subzones in North Sea by progressive FAD's of 'P. rosenkrantzii', N. modestus', and 'P. martinii' (Perch-Nielsen, 1985)."											
	NP2	65.62	dotted	"DOTTED.  This taxa might be C. intermedius (Paul Bown to J.Ogg, June2011; see p.134 in Agnini et al., 2012 on Cruciplacolithus taxonomy controveries.).  Defines NP2 base.  Berggren et al. (1995a) assign as lower Chron C29n (C29n.3; but a lower C29n.1 used here following graphic in Agnini et al., 2012); but Agnini et al. (2012) dash the FAD as much lower, although ""we disregard zonal boundary markers such as ... C. tenuis s.l. (= large C. primus)"""											
	NP1	66.04		"Paleocene basal Nanno Zone NP1 is a ""gap"" from the top of the Cretaceous to the FAD of C. tenuis (base of NP2).  Zone NP1 also defined by beginning of acme of Thoracosphaera (calc. dinoflagellate).   Zone NP1 has regional subzones."											
	CC26	67.84		"CC26 begins with FAD of either N. frequens or C. kamptneri (for proximal).  Within Chron 31n at low latitudes; but Austral-high-latitude is older (in mid-Chron C31r) at Maud Rise (see Huber et al'08, also as suggested on SEPM98 chart).  Huber et al'08 compute as 67.44 Ma relative to GTS04 magnetics = C30n.14; which is close to the C30n.25 of Voight et al (submitted to EPSL) based on C13 correlations; therefore C30n.2 is used here.   Burnett'98 schematically shows as about 40% up in B. argenta / junior Belemnite Zone (NW Europe), which is just slightly (0.2 myr) younger.   Burnett'98 states that N. frequens has a well-documented diachronous FO"", which is youngest at northern high latitudes.  SEPM'98 assigned FAD as 3/10 up between top of J. nebrascensis Z. and end of Maastrichtian; and a ""younger"" (high Boreal?) FAD as 5/10 up between top of J. nebrascensis Z. and end of Maastrichtian.  Leg 207 assigned as 0.8 myr before end-Cretaceous => closer to Boreal placement on SEPM98."											
	CC25	70.14		"A calibration of Chron C31r.6 is used here.  Watkins has calibrated it as 1 precession cycle below a 70.06 Ma Ar-Ar age (hence 70.08, ignoring uncertainty on Ar-Ar age).   Burnett'98 schematically shows as about 85% up in B. sumensis Belemnite Zone (NW Europe); but Voight et al (2011, submitted to EPSL) show it as midway in that Zone, synchronous with Gubbio, and correlate to about Chron C31r.5 (70.3 Ma in GTS2012 magnetics).  ""Just above the FAD of planktonic foraminifer R. fructosa"" (Huber et al'08, who placed it 0.18 myr above = 69.9 Ma in GTS2012 foram scaling based on Huber et al's tables).  Bralower et al (1995) suggest using this LAD to subdivide NC21 into a/b subzones; but the GTS2004 ages would imply very short durations, so omitted here.  ODP age is 69.8 Ma, but EGI database (2005) calibrates as much higher at 68.4 Ma (North Sea) and 68.6 (Tethys).  This younger age would probably require the overlying succession to also be pushed ""higher"" to retain same sequence.  SEPM'98 assigned LAD in Tethys as top of H. ricolleti Zone of N.Amer., which is about 1 myr Higher.   SEPM'98 had assigned LAD in Boreal as top of B. clinolobatus (base of H. birkelundi) ammonite = Late/Early Maastr. boundary."											
	CC24	72.32	dashed	Upper part of C323n.2n (Huber et al'08 calibrate as 71.80 Ma relative to GTS04 magnetics => C32n.2n.8).  Commonly used for base of CC24; although Leg 207 used the later LAD of T. orionatus.											
	CC23	75.93		"DASH -- Huber et al'08 value of about 75.31 Ma (C33n.71 relative to GTS04 magnetics) seems consistent with other Tethyan placements, and is used here.  EGI database calibrates as base of Upper Campanian (76.4 Ma in Tethyan; 76.3 Ma in Boreal).  However, in Boreal-realm studies, Jackie Lees (Burnett) assigns as upper Upper Campanian (ca. 74 Ma); and this offset is verified in cross-region C-13 studies by Voight et al. (2011, submitted to EPSL).  SEPM'98 had assigned LAD is middle of D. stevensoni Z.  Note: Husson et al. spells as ""eximus"" (not eximius; which is apparently a typo-error)."											
	CC22	76.82		"Also known as Quadrum trifidum.  Huber et al'08 review and conclude C33n.55 (used here) is best calibration (76.29 Ma relative to GTS04 magnetics; although their text says ""C33n.65"" -- we assumed their age model was correct, not text).  Bralower et al. (1995) suggest this is coeval with FAD of foraminifer G. calcarata (about 0.8 myr younger), which may indicate uncertainty in Campanian inter-correlations.  SEPM'98 had assigned FAD as base of Late Campanian (base D. nebrascense zone).  Slighly below base-Calcarata in Tanzania (Petrizzo et al'11)."											
	CC21	77.61		"Also known as Quadrum sissingh.  Huber et al'08 cite Erba et al'95 as C33n.45; but their 77.10 Ma ""relative to GTS04 magnetics"" implies C33n.41 (used here).  Seems an arbitrary 1 myr below FAD of U. trifidum in Leg 171/207 tables."											
	CC20	79		"Just above base of C. plummera Foram Zone according to M. Petrizzo (June 2011 workshop notes) => assigned here as 0.2 myr above.  This FAD age-projection is very similar from estimate in ODP 171/207, which had coincided with mid-B. perplexus (late) zone."											
	CC19	80.97		SEPM'98 had assigned LAD as base of Middle Camp (base B. obtusus)											
	CC18	81.43		"Burnett'98 schematically shows as about 40% up in S. hippocrepis III Zone of N. Amer.  SEPM'98 assigned FAD as 3/10 up in S. hippocrepis I Zone.  Subzone UC14a is very brief.  Also called ""Aspidolithus parcus parcus"" in some schemes.   Base of preceeding B. parcus expansus is probably the ""parca"" one just above the boundary, and parca-parca occurs higher (J. Bergen 2005 pers. Commun.)."											
	CC17	84.59		Leg 207 places at essentially Late/Middle Santonian boundary (base of D. bassleri zone)											
	CC16	86.4		"Assigned here as ca. 85% up in Magadiceramus crenelatus inoceramid zone, based on Ten Mile Creek candidate for base-Santonian (although base of that zone is not established).  Schematic diagram in Burnett'98 suggests about base of P. serratomarginatus ammonite Zone.   In contrast, Boreal column in SEPM'98 assigned FAD nearly 2 myr Higher -- just below top of C. saxitonianus-I. undulatoplicatus Zone in mid-Santonian !!   A lowermost-Santonian or uppermost-Coniacian (depending on future definition, and correlation to W.Interior ammonite usage) is supported by base-Santonian GSSP study, where L. cayeuxii is above base-D. asymetrica Foram Zone (the working definition of base-Santonian here; although age-calibration is uncertain), and just below the proposed macrofossil definition.  Estimates (SEPM, Leg 171/207) seem to converge on placement at Middle/Early Santonian boundary (base of C. vermiformis zone).   SEPM'98 had assigned Just above (0.1 myr) the LAD of S. septenarius; but order is opposite in Burnett's UC system."											
	CC15	88.14	dashed	"DASH:  Burnett'98 notes that ""FO of Reinhardtites anthophorus is an unreliable datum.  Its inception, which is widely believed to be in the Coniacian, is somewhat obscure.  (etc).  Therefore, assigned here as mid-Zone UC10 (Burnett's placement of its discussion) with a Dash.  SEPM'98 assigned FAD as 1/10 up in C. saxitonianus -I. undulatoplicatus Z.   In contrast, Leg 171B assigns to base of Santonian (but, of course, pending definition).  "											
	CC14	89.75		"Same as ""Micula decussata"".  Burnett'98 assigns as essentially at base of P. tridorsatum Zone (used here).  FAD is Late/Middle Coniacian boundary in Leg 171 and Tethyan SEPM column; BUT placed at Middle/Early Coniacian in Boreal SEPM column.  "											
	CC13	90.22		SEPM'98 had assigned FAD as base of S. nigricollensis											
